i_init,infec_list_FB,infec_list_BA,early_deg_FB,early_deg_BA,speed_list_FB,speed_list_BA,reach_list_FB,reach_list_BA
0.0205,251,617,27.740873015873014,35.14151277898303,6.45,18.76923076923077,4,4
0.0205,269,682,8.843337757014229,34.8317699770361,7.65,21.23076923076923,3,4
0.0205,201,1,16.009494949494947,0.0,5.666666666666667,0.0,3,0
0.0205,18,53,47.625,16.05,0.0,1.0,2,4
0.0205,11,633,14.8,35.342296070792926,0.0,20.24,4,4
0.0205,12,31,6.4,29.3,0.0,0.0,2,7
0.0205,23,588,3.7,33.6855163341716,0.0,18.28,3,4
0.0205,2,88,0.5,36.31666666666667,0.0,2.3636363636363638,1,6
0.0205,2,606,0.0,33.624475752317856,0.0,18.26923076923077,1,4
0.0205,324,98,17.84917340012928,38.5,8.782608695652174,2.6666666666666665,7,6
0.0205,5,50,10.6,15.8,0.0,1.0,2,6
0.0205,279,705,14.251806943056943,32.7268413947308,7.9,22.26923076923077,5,4
0.0205,2,28,0.0,25.85,0.0,0.0,1,4
0.0311,327,728,10.827618346565718,31.507208325857892,8.4,21.46153846153846,4,4
0.0311,388,703,13.734438452414457,34.47489728898715,10.761904761904763,20.692307692307693,6,4
0.0311,257,723,20.775559163059164,31.559918206999008,7.071428571428571,21.192307692307693,6,4
0.0311,276,740,13.614880952380952,32.1545498130236,6.157894736842105,22.115384615384617,5,5
0.0311,283,704,26.80269841269841,34.36938742535693,6.2105263157894735,20.346153846153847,5,4
0.0311,440,743,13.969553391053392,33.14177245921613,11.083333333333334,21.76923076923077,6,4
0.0311,244,732,22.280400155400155,33.41850035593843,6.666666666666667,21.384615384615383,4,4
0.0311,225,724,13.253611111111109,33.956903391606055,4.571428571428571,20.76923076923077,5,4
0.0311,509,752,17.20267421561926,33.661202317335785,14.333333333333334,22.192307692307693,7,5
0.0311,229,747,17.029761904761905,33.21001734806251,4.666666666666667,22.8,2,4
0.0311,272,699,7.917142857142856,34.92259157509157,6.875,20.307692307692307,5,4
0.0311,327,733,15.476388888888888,32.968577407079856,8.35,22.36,2,4
0.0311,539,707,20.228384104976847,33.0242937653273,15.08,20.074074074074073,5,4
0.0311,339,725,16.55852114260009,32.39237270530518,8.476190476190476,21.46153846153846,5,4
0.0311,433,728,14.204789915966387,31.944763098256523,12.045454545454545,20.925925925925927,4,4
0.0311,258,759,4.786468253968254,32.11204643048286,6.533333333333333,23.28,5,4
0.0311,265,695,24.09472222222222,34.658650554063264,6.176470588235294,20.88,3,4
0.0311,278,720,26.310434419381785,34.228262440014845,6.105263157894737,21.076923076923077,4,4
0.0311,302,722,9.870277777777778,32.49734040266698,7.0,21.23076923076923,4,4
0.0311,186,729,6.229166666666667,32.49376534757881,5.4,22.4,5,4
0.0416,337,788,15.936403508771932,32.023839518155015,7.764705882352941,21.37037037037037,3,3
0.0416,489,738,21.90422149122807,31.988798458478094,12.636363636363637,20.92,6,4
0.0416,380,750,19.82135034556087,31.95077136717821,9.368421052631579,20.76923076923077,2,4
0.0416,289,759,20.48011904761905,33.06965581600889,6.214285714285714,20.846153846153847,3,4
0.0416,572,759,17.23357403690221,31.664508948967836,14.44,21.115384615384617,5,4
0.0416,345,723,14.334544067044067,31.849741016324305,8.058823529411764,20.36,5,4
0.0416,4,65,2.4,38.1,0.0,1.5789473684210527,2,8
0.0416,8,774,5.5,32.19293041857964,0.0,21.346153846153847,2,5
0.0416,483,800,18.61444254828031,32.35997614767638,11.826086956521738,22.26923076923077,5,4
0.0416,388,761,17.647085125019906,32.708714943089944,9.35,20.846153846153847,3,3
0.0416,205,750,7.816666666666667,32.669231974996514,1.6666666666666667,20.576923076923077,7,4
0.0416,341,810,24.267298534798535,34.544238937565794,6.714285714285714,23.68,5,4
0.0416,348,773,23.39113997113997,31.86214044168392,6.545454545454546,21.76923076923077,6,4
0.0416,433,755,19.610110298198535,32.544972494091006,10.0,21.03846153846154,6,4
0.0416,530,770,18.792548707331317,30.823428923380142,14.5,21.5,4,4
0.0416,400,748,10.724088410643365,32.27013857015018,9.8,21.2,4,4
0.0416,335,783,16.79853238265003,31.70704622107673,6.888888888888889,21.73076923076923,2,4
0.0416,283,756,22.16728327228327,31.733151683452906,5.6,21.56,4,4
