decay_rate,infec_list_FB,infec_list_BA,early_deg_FB,early_deg_BA,speed_list_FB,speed_list_BA
0.0416,291,385,19.37435655503767,36.62142857142857,10.826086956521738,12.25925925925926
0.0416,241,475,9.844078103269279,40.09389055389056,9.428571428571429,15.25925925925926
0.0416,290,504,19.04116978609626,42.48059523809523,10.291666666666666,16.40740740740741
0.0416,373,450,23.755167195336632,39.69790764790765,13.12,14.592592592592593
0.0416,326,308,22.38389589169001,30.740833333333335,12.173913043478262,9.407407407407407
0.0416,114,88,13.892500000000002,12.9,4.6875,1.6666666666666667
0.0416,267,525,19.152779720279717,41.856299407114626,9.73913043478261,17.22222222222222
0.0416,307,499,23.223558206499384,41.52277472527473,11.304347826086957,16.296296296296298
0.0416,249,376,10.673227364310957,39.68358974358974,9.80952380952381,11.481481481481481
0.0416,258,341,16.72543831168831,35.368308080808085,8.958333333333334,10.346153846153847
