i,infec_list_FB,infec_list_BA,early_deg_FB,early_deg_BA,speed_list_FB,speed_list_BA,reach_list_FB,reach_list_BA
0.6053,147,87,9.863690476190477,36.36833333333333,6.875,2.8823529411764706,4,5
0.6053,44,37,9.925,14.516666666666666,2.0,0.25,3,5
0.6053,65,66,15.133333333333335,27.9,2.4,1.75,2,4
0.6053,260,100,16.59438284797418,84.84333333333333,9.818181818181818,3.0,4,5
0.6053,196,140,18.205491452991453,35.87833333333333,7.190476190476191,4.318181818181818,6,5
0.6053,116,121,14.724722222222221,39.245,5.214285714285714,3.6363636363636362,3,4
0.6053,121,35,10.873809523809523,8.1,5.857142857142857,0.0,2,5
0.6053,160,45,16.989163614163612,20.0,6.473684210526316,1.5,2,5
0.6053,151,97,21.509523809523813,35.79166666666667,6.470588235294118,2.9473684210526314,2,5
0.6053,145,164,25.53649184149184,37.96440476190476,5.833333333333333,5.391304347826087,3,5
0.6053,52,121,11.016666666666667,42.62916666666667,4.333333333333333,4.1,3,7
0.6053,137,38,14.580158730158733,24.1,5.555555555555555,0.6666666666666666,3,5
0.6053,61,56,18.941666666666666,30.15,3.0,1.3846153846153846,3,6
0.7105,64,107,13.273333333333332,51.05,2.875,2.9130434782608696,4,5
0.7105,136,99,9.537106227106227,28.425,6.533333333333333,2.8095238095238093,3,5
0.7105,145,38,8.414964985994398,25.05,6.6875,2.0,3,4
0.7105,177,63,11.115520035520035,30.95,7.611111111111111,2.1666666666666665,3,6
0.7105,147,84,7.577863247863247,61.1,6.6875,2.0952380952380953,3,5
0.7105,166,51,9.124943112443113,23.283333333333335,6.7368421052631575,1.0,2,5
0.7105,148,93,16.427549395049393,33.81666666666667,6.111111111111111,2.8421052631578947,2,5
0.7105,114,199,6.657301587301587,42.46036796536797,6.25,6.869565217391305,2,5
0.7105,175,144,15.457597402597404,42.88333333333333,7.611111111111111,4.291666666666667,2,5
0.7105,127,153,9.443095238095239,66.03666666666666,6.357142857142857,4.791666666666667,3,5
0.7105,99,151,48.998571428571424,42.4454761904762,4.461538461538462,5.0,2,6
0.7105,52,174,8.995833333333334,42.95621212121212,5.0,5.826086956521739,2,5
0.7105,167,53,18.805512820512817,36.416666666666664,7.0,1.1538461538461537,4,5
0.7105,183,63,17.41206349206349,36.71666666666667,7.3,1.5294117647058822,3,5
0.7105,53,98,8.7,59.883333333333326,1.3846153846153846,3.0,4,5
0.7105,189,130,22.77019296492981,29.35166666666667,7.894736842105263,4.095238095238095,3,6
0.7105,100,100,27.49563492063492,43.25833333333334,5.545454545454546,3.111111111111111,2,5
0.7105,203,127,11.120207570207572,36.74166666666667,6.826086956521739,3.5454545454545454,6,5
0.7105,103,78,24.075634920634922,37.77333333333333,4.5,2.2222222222222223,2,4
0.7105,107,243,30.217619047619053,43.33317182817183,5.0,8.291666666666666,4,5
0.8158,180,159,17.548575036075036,40.3935606060606,6.85,5.181818181818182,4,5
0.8158,190,187,19.776785714285715,46.093333333333334,8.0,6.217391304347826,5,5
0.8158,175,157,16.030357142857145,47.50833333333333,7.157894736842105,5.136363636363637,2,6
0.8158,187,167,19.66797619047619,39.919444444444444,8.705882352941176,5.391304347826087,4,4
0.8158,185,86,20.603151260504198,33.15,7.0,2.4,3,5
0.8158,173,57,24.530232545232543,23.0,7.411764705882353,1.4,4,5
0.8158,181,123,17.164330391830394,39.31666666666667,7.526315789473684,3.5217391304347827,3,6
0.8158,184,138,24.65336415132855,34.275,8.0,3.9583333333333335,3,5
0.8158,177,65,14.490079365079364,24.008333333333333,7.611111111111111,1.4375,4,5
0.8158,176,43,19.338951734539968,22.45,7.105263157894737,0.6,4,5
0.8158,171,162,20.69946428571429,44.235,6.285714285714286,5.454545454545454,4,6
0.8158,154,153,7.549876789876789,51.14083333333333,6.444444444444445,4.608695652173913,2,5
0.8158,157,179,9.996865079365078,37.04511904761905,6.388888888888889,6.043478260869565,3,6
0.8158,163,191,9.298109243697478,41.96476190476191,7.411764705882353,6.217391304347826,4,5
0.8158,193,105,21.984301242236022,38.95,8.5,2.6818181818181817,4,5
0.8158,222,228,19.81281087333719,38.39091269841269,8.136363636363637,7.4,4,4
0.8158,168,180,16.85429292929293,46.93952380952381,7.8125,5.5,2,6
0.8158,223,201,19.73589826839827,39.24909451659452,8.043478260869565,6.869565217391305,4,5
0.8158,183,133,20.26865784542255,36.87222222222222,7.25,4.043478260869565,3,6
0.8158,203,150,19.335501443001444,35.394999999999996,9.11111111111111,4.416666666666667,4,5
