decay_rate,infec_list_FB,infec_list_BA,early_deg_FB,early_deg_BA,speed_list_FB,speed_list_BA,reach_list_FB,reach_list_BA
0.0205,335,421,18.982722102458943,35.385000000000005,12.652173913043478,12.592592592592593,6,5
0.0205,292,594,11.48382724159898,47.80494729907773,11.08695652173913,18.59259259259259,5,5
0.0205,413,469,23.741910523435028,46.800427350427356,14.153846153846153,14.814814814814815,5,5
0.0205,456,577,22.56035173636432,40.583828671328675,15.307692307692308,18.85185185185185,7,5
0.0205,118,594,15.942380952380953,41.355494505494505,4.277777777777778,19.107142857142858,5,5
0.0205,344,338,16.446877387318562,30.95,12.541666666666666,10.148148148148149,5,5
0.0205,279,704,10.342367803764862,38.48160525748761,11.285714285714286,22.59259259259259,2,5
0.0205,358,731,20.369313186813187,47.87609523809524,12.44,23.77777777777778,7,5
0.0311,350,577,21.353504901960783,36.72550727050727,12.4,18.296296296296298,5,5
0.0311,353,637,11.533539485685939,40.18104435330751,11.73076923076923,21.25925925925926,6,5
0.0311,266,528,11.640150258668061,44.765,10.136363636363637,17.037037037037038,3,5
0.0311,226,579,8.300476935345356,52.45981143469534,9.842105263157896,19.11111111111111,5,5
0.0311,106,489,13.570277777777779,34.45801282051282,4.375,15.222222222222221,3,5
0.0311,183,482,29.81984126984127,40.194935064935066,6.904761904761905,15.407407407407407,5,5
0.0311,305,349,21.06564675090991,35.30428571428571,11.347826086956522,10.222222222222221,5,5
0.0311,315,567,20.829523115773117,43.09077992659515,11.0,18.48148148148148,6,5
0.0311,345,487,24.722106414827003,36.91881618381618,12.75,15.428571428571429,6,5
0.0311,174,246,26.68347466259231,34.72261904761905,7.333333333333333,7.074074074074074,2,5
0.0311,278,479,18.924776334776332,37.45809523809523,10.304347826086957,15.11111111111111,3,5
0.0311,151,556,14.881355311355312,40.743989898989895,5.380952380952381,17.48148148148148,4,5
0.0311,282,435,15.05327922077922,45.76020202020203,10.26086956521739,13.148148148148149,5,6
0.0311,269,337,10.820386192754613,28.576190476190476,10.409090909090908,10.076923076923077,3,6
0.0311,353,460,21.590500161603103,42.18855921855922,12.583333333333334,14.925925925925926,6,5
0.0311,225,493,8.793635566188197,35.76492200609847,8.7,15.961538461538462,6,5
0.0311,193,355,26.219912587412587,45.35285714285715,6.863636363636363,10.962962962962964,5,6
0.0311,325,353,17.739861016176807,40.54083333333333,12.08695652173913,10.62962962962963,4,5
0.0311,283,690,11.224190115440116,42.957840748115345,11.9,23.074074074074073,4,5
0.0311,342,505,22.678787520958576,39.823927738927736,12.416666666666666,16.185185185185187,6,5
0.0416,144,443,26.332585470085473,39.10797619047619,5.526315789473684,13.88888888888889,3,6
0.0416,282,232,15.936496754879107,33.81,9.875,6.5,5,7
0.0416,130,327,20.44531746031746,38.1743722943723,5.166666666666667,9.961538461538462,5,6
0.0416,175,214,22.514761904761905,24.9,7.444444444444445,5.884615384615385,3,6
0.0416,249,293,19.490387488328665,38.026666666666664,9.227272727272727,9.037037037037036,4,6
0.0416,165,170,27.587948717948716,25.81666666666667,6.944444444444445,4.56,4,8
0.0416,305,323,11.80527614752995,39.40809523809524,11.818181818181818,9.333333333333334,5,6
0.0416,327,502,21.837665689573583,40.63665499533146,11.4,16.51851851851852,8,5
0.0416,169,494,17.679212454212454,36.44161338661339,6.4,15.962962962962964,2,5
0.0416,266,360,9.493076351752821,36.11,9.521739130434783,10.925925925925926,3,5
0.0416,220,473,25.131108058608056,48.038931623931624,7.608695652173913,15.185185185185185,6,5
0.0416,339,434,18.65963484964057,46.96619047619047,12.291666666666666,13.555555555555555,6,6
0.0416,480,556,17.079358058623363,42.153199421351594,18.25,18.59259259259259,5,5
0.0416,298,330,18.73512061467944,33.40071428571428,10.521739130434783,10.25925925925926,7,5
0.0416,171,482,25.503070818070817,44.97372835497836,6.894736842105263,15.703703703703704,3,5
0.0416,190,292,6.7756531480215685,31.755357142857143,8.764705882352942,8.846153846153847,3,5
0.0416,85,462,14.211666666666668,36.28602897102897,4.363636363636363,14.481481481481481,4,5
0.0416,358,182,23.783936115913672,21.9,12.36,4.814814814814815,6,5
0.0416,341,386,24.617834792921002,41.44935064935065,11.6,12.11111111111111,6,6
0.0416,266,386,11.172461216114467,35.99119047619048,11.2,11.666666666666666,2,6
0.0521,163,328,28.481336996336996,47.72587301587301,6.473684210526316,10.423076923076923,2,6
0.0521,81,458,12.439880952380951,39.692110177404295,4.4,15.115384615384615,3,5
0.0521,259,511,12.03556098744886,49.73373626373626,11.05,16.703703703703702,2,5
0.0521,157,332,20.509379509379507,40.511904761904766,5.8,10.153846153846153,2,6
0.0521,297,382,19.360286935286936,38.372049062049065,10.91304347826087,12.037037037037036,5,6
0.0521,255,318,20.041111556572083,44.22920634920635,9.454545454545455,9.73076923076923,4,6
0.0521,140,422,24.03333333333334,39.20317821067821,5.9411764705882355,13.807692307692308,2,5
0.0521,349,489,21.391657083886187,39.50232051282051,12.833333333333334,15.814814814814815,5,4
0.0521,239,198,10.923371628371628,34.159523809523805,9.8,5.423076923076923,3,5
0.0521,310,186,18.405686592818945,29.4,10.76,5.3076923076923075,5,7
